Periodo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Total de la actividad econ�mica Total nacional ,100,100,100,100,100,100,100,100,100,100,100
,Total de la actividad econ�mica Aguascalientes ,1.048063138,1.049591193,1.060486086,1.06840997,1.086812574,1.104805287,1.18554174,1.195582947,1.246411552,1.250478615,1.269895968
,Total de la actividad econ�mica Baja California ,3.176867992,2.987467813,2.98321205,2.962534873,2.955250425,2.9760021,2.975771729,3.084907237,3.153546677,3.192921524,3.196638716
,Total de la actividad econ�mica Baja California Sur ,0.756628463,0.793775419,0.770995756,0.771103323,0.760455511,0.735347692,0.722137789,0.787245229,0.788742989,0.856193089,0.97751265
,Total de la actividad econ�mica Campeche ,6.02128514,5.720443577,5.253257686,4.883797993,4.632152235,4.609746131,4.26946246,3.84576114,3.53664356,3.103799736,2.991524149
,Total de la actividad econ�mica Coahuila de Zaragoza ,3.459940262,3.086976875,3.413726996,3.517170381,3.561350971,3.440644805,3.480498297,3.40137749,3.369597643,3.472179293,3.440418392
,Total de la actividad econ�mica Colima ,0.548184761,0.560110172,0.571278491,0.591195022,0.586743133,0.584444594,0.583197472,0.578295884,0.580455875,0.588808722,0.590159465
,Total de la actividad econ�mica Chiapas ,1.79333649,1.880774286,1.888111525,1.878531896,1.845206163,1.795896569,1.830001105,1.735959058,1.690171757,1.601753541,1.534339515
,Total de la actividad econ�mica Chihuahua ,3.060475843,2.938621815,2.910986321,2.873325298,2.975610411,3.044823705,3.022896293,3.079981767,3.145614387,3.182362204,3.178019372
,Total de la actividad econ�mica Ciudad de M�xico ,17.01334867,17.30965533,17.04878854,17.03308374,17.06912007,17.0883545,17.10664714,17.30937528,17.41336572,17.57399517,17.67089489
,Total de la actividad econ�mica Durango ,1.150633822,1.194879186,1.179371228,1.185245521,1.185555989,1.208575123,1.201012846,1.163419325,1.181571427,1.151537827,1.144150624
,Total de la actividad econ�mica Guanajuato ,3.492556574,3.52912956,3.603360115,3.684933215,3.699839697,3.800997135,3.859331018,3.943745807,3.964824373,4.063399882,4.02705456
,Total de la actividad econ�mica Guerrero ,1.44614553,1.474437655,1.476342112,1.441792865,1.413509084,1.398815417,1.41692145,1.384732732,1.378974451,1.350817988,1.361272652
,Total de la actividad econ�mica Hidalgo ,1.449724803,1.432981301,1.437415167,1.442404691,1.443828093,1.476624564,1.51280511,1.56033898,1.58299912,1.55869039,1.566566156
,Total de la actividad econ�mica Jalisco ,6.377761427,6.376642886,6.447505604,6.407374888,6.449915633,6.511560194,6.642473899,6.664197547,6.766531097,6.789549786,6.82319019
,Total de la actividad econ�mica M�xico ,8.318854382,8.343217192,8.547794308,8.627761129,8.683787573,8.727145726,8.727691381,8.716734775,8.747022182,8.984091741,9.071042421
,Total de la actividad econ�mica Michoac�n de Ocampo ,2.323568487,2.322613847,2.297645305,2.307611976,2.281320443,2.297990942,2.362928448,2.328419888,2.367795022,2.393890074,2.397230463
,Total de la actividad econ�mica Morelos ,1.178055781,1.23345253,1.219199987,1.17424359,1.138733213,1.164294375,1.155540081,1.130754092,1.144775516,1.172768262,1.137463816
,Total de la actividad econ�mica Nayarit ,0.68245887,0.681673274,0.681322493,0.676966503,0.653232239,0.662468692,0.678319921,0.687979697,0.703505898,0.698219533,0.680654752
,Total de la actividad econ�mica Nuevo Le�n ,7.084524131,6.980419084,7.142946202,7.191630113,7.218056547,7.191889238,7.226969976,7.407273547,7.405533314,7.539316043,7.647787652
,Total de la actividad econ�mica Oaxaca ,1.573544517,1.644942171,1.589205523,1.579450461,1.553238851,1.569532332,1.557457202,1.571906669,1.510846924,1.445593629,1.471182603
,Total de la actividad econ�mica Puebla ,3.256109115,3.169411928,3.274489411,3.316482721,3.397228385,3.319498525,3.27500779,3.26069512,3.269880423,3.399231122,3.410205079
,Total de la actividad econ�mica Quer�taro ,1.932605073,1.980514105,2.002474539,2.076293702,2.062695394,2.045627467,2.132713568,2.185957364,2.225507106,2.279943189,2.297009852
,Total de la actividad econ�mica Quintana Roo ,1.409581418,1.360377381,1.359694678,1.38516178,1.397900172,1.440121088,1.451733855,1.4721962,1.539801698,1.570771613,1.616098887
,Total de la actividad econ�mica San Luis Potos� ,1.874807804,1.874528925,1.87701853,1.908346515,1.926602982,1.968317795,1.971203291,1.986556143,2.014214807,2.046634771,2.090569741
,Total de la actividad econ�mica Sinaloa ,2.196668363,2.220501387,2.17841684,2.142827349,2.139793578,2.135814271,2.116602461,2.164421035,2.216618771,2.198452661,2.205889518
,Total de la actividad econ�mica Sonora ,3.032177802,3.006724977,3.006479049,3.169646531,3.213831063,3.262341469,3.254445846,3.314995563,3.40906029,3.323674549,3.284194636
,Total de la actividad econ�mica Tabasco ,3.299388024,3.633677341,3.658007669,3.695608011,3.655006703,3.53922943,3.515209383,3.391026491,3.148440518,2.9393766,2.647648972
,Total de la actividad econ�mica Tamaulipas ,3.355959382,3.221876466,3.12292784,3.070548403,3.022302819,3.025333389,2.974336317,2.971075853,2.946895718,2.875792894,2.868359761
,Total de la actividad econ�mica Tlaxcala ,0.577992062,0.598888146,0.618780705,0.57833366,0.582714306,0.560377001,0.56240512,0.581797539,0.570348182,0.551565369,0.559373492
,Total de la actividad econ�mica Veracruz de Ignacio de la Llave ,4.890133526,5.048020101,5.003682428,5.020354546,5.053015436,4.995053795,4.859511349,4.739286642,4.621980171,4.478253858,4.487285399
,Total de la actividad econ�mica Yucat�n ,1.341122593,1.387440423,1.366670187,1.363919227,1.391359621,1.379489108,1.393269245,1.389521563,1.42796754,1.456398734,1.471052324
,Total de la actividad econ�mica Zacatecas ,0.877495749,0.956233658,1.008406631,0.973910103,0.963830679,0.938837544,0.975956414,0.964481395,0.930355295,0.909537594,0.885313335